Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Severe Retinopathy,Vegetarian,Snacks,"Daliya Upma, Moong Dal Chilla, Palak Kofta, Rajma Curry, Roasted Foxnuts, Vegan Pancakes",33,14,19,5,344,Yoga,Excess Salt,36-45,East,19.8,Exercise regularly to maintain healthy weight and sugar levels.,Monday
Proliferative Retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Chole with Bhatura, Grilled Salmon, Roasted Foxnuts, Tomato Shorba, Vegetable Daliya",45,14,17,10,441,Swimming,Processed Foods,36-45,North,22.3,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Moderate Retinopathy,Vegan,Snacks,"Green Gram Curry, Handvo, Poha, Rava Idli, Spinach Khichdi, Stuffed Capsicum",35,10,12,5,416,Stretching,Deep Fried Items,26-35,North,18.1,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Mild Retinopathy,Vegetarian,Breakfast,"Bajra Roti, Jeera Rice, Masala Egg Toast, Oats Idli, Rajma Pulao, Sprouted Chana Salad",52,9,22,7,333,Swimming,Soft Drinks,60+,East,18.6,Get enough sleep to support overall health.,Tuesday
Severe Retinopathy,Non Vegetarian,Snacks,"Fish Korma, Masala Makhanas, Methi Paratha, Mutton Biryani, Poha, Ragi Dosa",37,10,20,7,314,Stretching,Deep Fried Items,60+,South,19.1,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Barnyard Millet Pongal, Green Gram Curry, Ragi Dosa, Rajma Pulao, Tofu Bhurji, Vegan Dum Biryani",34,14,14,7,445,Yoga,Deep Fried Items,46-60,Central,28,Practice mindfulness and stress-reducing activities.,Wednesday
No retinopathy,Vegan,Snacks,"Egg Bhurji, Egg Muffins, Jeera Rice, Palak Paneer, Poha, Vegan Pancakes",31,14,21,6,469,Yoga,Deep Fried Items,60+,Central,24.2,Avoid skipping meals and maintain consistent meal timings.,Saturday
No retinopathy,Vegetarian,Dinner,"Barnyard Millet Pongal, Chicken Sandwich, Masala Papad, Millet Porridge, Oats Chilla, Vegan Dum Biryani",47,10,13,11,277,Strength Training,Processed Foods,60+,South,24.6,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Vegetarian,Snacks,"Almond Milk Smoothie, Fish Curry, Masoor Dal, Methi Thepla, Mutton Biryani, Spinach Rice",48,10,15,8,289,Yoga,Processed Foods,36-45,West,23.6,Keep a food diary to monitor your eating habits.,Sunday
No retinopathy,Non Vegetarian,Dinner,"Egg Muffins, Multigrain Sandwich, Oats Idli, Ragi Dosa, Tofu Stir Fry, Vegetable Daliya",53,14,17,13,359,Swimming,Processed Foods,60+,Central,29.2,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Severe Retinopathy,Vegan,Lunch,"Chole with Bhatura, Egg Paratha, Jeera Rice, Pumpkin Soup, Tomato Shorba, Turkey Kebab",51,11,14,11,515,Yoga,Excess Salt,26-35,West,18.9,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Vegetarian,Dinner,"Chole with Bhatura, Jeera Rice, Pumpkin Soup, Rajma Curry, Sprouted Chana Salad, Tomato Shorba",49,11,8,10,307,Brisk Walking,Deep Fried Items,46-60,South,25.1,Practice mindfulness and stress-reducing activities.,Monday
Mild Retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Bajra Roti, Chicken Stew, Masoor Dal, Multigrain Sandwich, Vegetable Daliya",31,10,22,5,500,Cycling,Soft Drinks,36-45,West,21.6,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Mild Retinopathy,Vegetarian,Lunch,"Boiled Egg Salad, Cabbage Stir Fry, Grilled Salmon, Kadhi Pakora, Masoor Dal, Rava Idli",43,6,11,9,431,Stretching,Sugary Foods,26-35,Central,20,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Moderate Retinopathy,Vegan,Snacks,"Chia Pudding, Oats Chilla, Pumpkin Dal, Rajma Pulao, Sprouted Chana Salad, Vegetable Upma",52,8,9,11,272,Swimming,Sugary Foods,60+,East,25.7,Avoid skipping meals and maintain consistent meal timings.,Saturday
Mild Retinopathy,Vegan,Breakfast,"Millet Porridge, Moong Dal Chilla, Roasted Foxnuts, Stuffed Capsicum, Sweet Corn Salad, Sweet Potato Hash",50,7,22,9,327,Strength Training,Sugary Foods,26-35,Central,28.3,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Boiled Egg Salad, Chia Pudding, Lauki Curry, Methi Thepla, Paneer Bhurji, Vegetable Handvo",41,8,10,13,385,Swimming,Deep Fried Items,18-25,Central,28.5,Stay hydrated and drink at least 8 glasses of water daily.,Friday
No retinopathy,Vegan,Snacks,"Barnyard Millet Pongal, Bisi Bele Bath, Chole with Bhatura, Egg Paratha, Fish Curry, Sweet Corn Salad",43,12,16,15,343,Yoga,Deep Fried Items,46-60,South,25,Practice mindfulness and stress-reducing activities.,Wednesday
Mild Retinopathy,Vegetarian,Dinner,"Chia Pudding, Egg Paratha, Lauki Curry, Oats Idli, Pumpkin Soup, Tandoori Chicken",52,8,14,5,479,Swimming,Deep Fried Items,60+,South,23.6,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Vegetarian,Dinner,"Almond Milk Smoothie, Chicken Stew, Chole with Bhatura, Moong Dal Chilla, Oats Chilla, Vegan Dum Biryani",35,10,11,7,391,Brisk Walking,Processed Foods,26-35,Central,20.1,Practice mindfulness and stress-reducing activities.,Saturday
No retinopathy,Non Vegetarian,Lunch,"Chicken Sandwich, Chickpea Curry, Palak Paneer, Rajma Pulao, Rava Idli, Sweet Corn Salad",35,11,8,11,379,Swimming,Excess Salt,46-60,South,29,Get enough sleep to support overall health.,Wednesday
Moderate Retinopathy,Vegan,Snacks,"Daliya Upma, Kadhi Pakora, Methi Paratha, Millet Porridge, Roasted Foxnuts, Tomato Shorba",36,11,20,9,460,Swimming,Deep Fried Items,18-25,West,29.1,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegetarian,Breakfast,"Bajra Roti, Chicken Sandwich, Daliya Upma, Mutton Biryani, Rajma Pulao, Stuffed Capsicum",38,9,21,7,308,Brisk Walking,Soft Drinks,46-60,West,22.6,Practice mindfulness and stress-reducing activities.,Sunday
Proliferative Retinopathy,Vegetarian,Breakfast,"Egg Paratha, Methi Paratha, Roasted Foxnuts, Sprouted Chana Salad, Stuffed Capsicum, Vegan Pancakes",43,13,15,12,342,Cycling,Sugary Foods,26-35,Central,19.3,Practice mindfulness and stress-reducing activities.,Thursday
Proliferative Retinopathy,Vegan,Lunch,"Baingan Bharta, Bisi Bele Bath, Cabbage Stir Fry, Chickpea Curry, Masala Egg Toast, Paneer Bhurji",41,13,22,14,271,Yoga,Excess Salt,26-35,North,24.7,Limit your intake of caffeine and alcohol.,Thursday
Moderate Retinopathy,Vegetarian,Lunch,"Aloo Paratha, Amaranth Dal, Cucumber Raita, Egg Bhurji, Egg Muffins, Fish Korma",31,12,20,13,395,Strength Training,Refined Flour,18-25,Central,28,Practice mindfulness and stress-reducing activities.,Monday
Moderate Retinopathy,Vegan,Snacks,"Dhokla, Handvo, Oats Chilla, Pumpkin Dal, Pumpkin Soup, Sweet Potato Hash",39,7,11,15,307,Cycling,Soft Drinks,60+,East,24.6,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Mild Retinopathy,Vegan,Dinner,"Cabbage Stir Fry, Daliya Upma, Masala Papad, Methi Thepla, Sprouted Chana Salad, Vegan Pancakes",38,11,13,11,450,Swimming,Processed Foods,26-35,North,19.8,Keep a food diary to monitor your eating habits.,Wednesday
No retinopathy,Vegan,Breakfast,"Chickpea Curry, Dhokla, Green Gram Curry, Lauki Kofta, Methi Thepla, Rava Idli",34,10,10,6,257,Brisk Walking,Excess Salt,36-45,West,28,Practice mindfulness and stress-reducing activities.,Friday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Avocado Toast, Millet Porridge, Poha, Stuffed Capsicum, Turkey Kebab, Vegetable Daliya",37,13,8,15,434,Stretching,Excess Salt,60+,West,20.9,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Moderate Retinopathy,Vegan,Lunch,"Avocado Toast, Baingan Bharta, Chia Pudding, Coconut Chutney, Cucumber Raita, Vegetable Daliya",54,12,18,8,364,Cycling,Refined Flour,60+,North,27.1,Get enough sleep to support overall health.,Wednesday
No retinopathy,Vegetarian,Snacks,"Aloo Paratha, Amaranth Dal, Daliya Upma, Palak Paneer, Paneer Bhurji, Pumpkin Soup",36,13,22,7,307,Yoga,Excess Salt,46-60,East,24.8,Get enough sleep to support overall health.,Sunday
No retinopathy,Non Vegetarian,Breakfast,"Bajra Roti, Kadhi Pakora, Kadhi with Rice, Poha, Stuffed Capsicum, Vegetable Upma",39,12,11,14,516,Swimming,Excess Salt,26-35,West,19.2,Avoid skipping meals and maintain consistent meal timings.,Tuesday
No retinopathy,Vegetarian,Dinner,"Amaranth Dal, Barley Risotto, Masala Egg Toast, Masala Papad, Methi Thepla, Tandoori Chicken",44,12,14,8,435,Stretching,Soft Drinks,46-60,South,22.5,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Moderate Retinopathy,Vegan,Dinner,"Fish Korma, Kadhi with Rice, Masoor Dal, Spinach Khichdi, Tomato Shorba, Vegan Dum Biryani",36,6,12,5,427,Brisk Walking,Refined Flour,18-25,Central,23.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Severe Retinopathy,Vegan,Snacks,"Bisi Bele Bath, Masala Papad, Palak Paneer, Stuffed Capsicum, Stuffed Tinda, Turkey Kebab",31,12,14,11,295,Brisk Walking,Soft Drinks,60+,Central,26.9,Avoid skipping meals and maintain consistent meal timings.,Thursday
Mild Retinopathy,Vegetarian,Snacks,"Chicken Sandwich, Coconut Chutney, Handvo, Masala Idli, Millet Porridge, Tandoori Chicken",49,6,12,12,483,Strength Training,Sugary Foods,36-45,Central,28.2,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Mild Retinopathy,Vegetarian,Dinner,"Barley Risotto, Cabbage Stir Fry, Daliya Upma, Paneer Cutlet, Rajma Curry, Tandoori Chicken",38,10,15,6,451,Strength Training,Excess Salt,46-60,West,18.1,Limit your intake of caffeine and alcohol.,Monday
Severe Retinopathy,Vegetarian,Breakfast,"Avocado Toast, Cucumber Raita, Gatte ki Sabzi, Methi Paratha, Methi Thepla, Sweet Corn Salad",50,7,20,6,509,Brisk Walking,Deep Fried Items,46-60,South,27.4,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Keema Pulao, Methi Paratha, Multigrain Sandwich, Sprouted Chana Salad, Turkey Kebab, Vegan Pancakes",47,9,11,6,422,Yoga,Refined Flour,36-45,Central,29.5,Limit your intake of caffeine and alcohol.,Thursday
Proliferative Retinopathy,Vegetarian,Dinner,"Amaranth Dal, Chicken Sandwich, Chole with Bhatura, Moong Dal Chilla, Stuffed Capsicum, Vegan Pancakes",39,7,20,7,285,Stretching,Deep Fried Items,26-35,South,28.9,Get enough sleep to support overall health.,Friday
Moderate Retinopathy,Vegetarian,Dinner,"Barley Risotto, Coconut Chutney, Palak Paneer, Spinach Khichdi, Tofu Bhurji, Vegetable Upma",41,7,10,5,325,Strength Training,Soft Drinks,60+,East,28.2,Get enough sleep to support overall health.,Saturday
Moderate Retinopathy,Non Vegetarian,Snacks,"Almond Milk Smoothie, Egg Bhurji, Keema Pulao, Roasted Foxnuts, Stuffed Tinda, Sweet Potato Hash",47,14,17,8,268,Cycling,Refined Flour,26-35,West,28.9,Keep a food diary to monitor your eating habits.,Tuesday
Moderate Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Chana Sundal, Chia Pudding, Coconut Chutney, Rava Idli, Vegetable Daliya",53,7,19,13,486,Cycling,Soft Drinks,18-25,East,25.7,Keep a food diary to monitor your eating habits.,Saturday
Severe Retinopathy,Non Vegetarian,Dinner,"Barnyard Millet Pongal, Chana Sundal, Dhokla, Methi Paratha, Methi Thepla, Rajma Curry",53,9,10,9,471,Yoga,Soft Drinks,18-25,Central,21.2,Get enough sleep to support overall health.,Monday
No retinopathy,Vegan,Lunch,"Bajra Roti, Chia Pudding, Palak Kofta, Rajma Curry, Sprouted Chana Salad, Vegan Dum Biryani",34,6,9,5,368,Stretching,Excess Salt,60+,West,19.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Severe Retinopathy,Vegan,Breakfast,"Amaranth Dal, Chicken Sandwich, Grilled Salmon, Oats Idli, Paneer Cutlet, Vegetable Handvo",35,11,19,6,514,Cycling,Excess Salt,60+,Central,25.9,Exercise regularly to maintain healthy weight and sugar levels.,Monday
Proliferative Retinopathy,Vegan,Dinner,"Aloo Paratha, Barnyard Millet Pongal, Chicken Stew, Lauki Curry, Moong Dal Chilla, Rajma Pulao",42,7,21,7,294,Cycling,Refined Flour,18-25,South,26.2,"Include high-fiber foods like oats, vegetables, and legumes.",Thursday
Severe Retinopathy,Vegetarian,Snacks,"Chia Pudding, Chicken Sandwich, Masala Egg Toast, Sweet Corn Salad, Sweet Potato Hash, Vegetable Upma",38,12,10,15,323,Strength Training,Sugary Foods,60+,West,22.7,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
No retinopathy,Vegan,Dinner,"Masala Makhanas, Moong Dal Chilla, Mutton Seekh, Oats Chilla, Spinach Rice, Sweet Potato Hash",50,11,19,15,415,Stretching,Refined Flour,36-45,Central,29.3,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Proliferative Retinopathy,Vegan,Lunch,"Avocado Toast, Baingan Bharta, Chole with Bhatura, Kadhi with Rice, Oats Chilla, Quinoa Salad",53,12,8,15,477,Strength Training,Sugary Foods,18-25,North,27.8,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Proliferative Retinopathy,Vegan,Lunch,"Cabbage Stir Fry, Coconut Chutney, Pumpkin Dal, Stuffed Capsicum, Sweet Potato Hash, Vegan Dum Biryani",33,12,10,9,337,Strength Training,Processed Foods,36-45,Central,25.7,Get enough sleep to support overall health.,Tuesday
Moderate Retinopathy,Vegetarian,Lunch,"Kadhi Pakora, Roasted Foxnuts, Spinach Rice, Sweet Corn Salad, Sweet Potato Hash, Tofu Stir Fry",30,8,16,10,291,Swimming,Deep Fried Items,18-25,East,21.2,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Mild Retinopathy,Vegetarian,Dinner,"Almond Milk Smoothie, Egg Bhurji, Grilled Salmon, Mutton Biryani, Sweet Corn Salad, Tofu Stir Fry",33,14,15,12,372,Brisk Walking,Excess Salt,60+,Central,18.3,Get enough sleep to support overall health.,Monday
Severe Retinopathy,Vegan,Lunch,"Chickpea Curry, Chole with Bhatura, Egg Bhurji, Handvo, Masala Papad, Tomato Shorba",35,7,8,13,309,Cycling,Processed Foods,36-45,North,21.5,Get enough sleep to support overall health.,Monday
Severe Retinopathy,Non Vegetarian,Breakfast,"Lauki Curry, Pumpkin Dal, Rajma Pulao, Sweet Potato Hash, Tofu Bhurji, Turkey Kebab",44,13,8,6,495,Stretching,Soft Drinks,46-60,East,21.4,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Vegan,Breakfast,"Chia Pudding, Chicken Sandwich, Chickpea Curry, Keema Pulao, Palak Kofta, Vegetable Handvo",50,8,15,15,428,Cycling,Sugary Foods,46-60,Central,29.5,Practice mindfulness and stress-reducing activities.,Wednesday
Mild Retinopathy,Vegan,Dinner,"Amaranth Dal, Keema Pulao, Masoor Dal, Paneer Cutlet, Stuffed Capsicum, Tofu Stir Fry",46,13,14,8,438,Brisk Walking,Refined Flour,60+,West,29.4,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Mild Retinopathy,Non Vegetarian,Breakfast,"Baingan Bharta, Chana Sundal, Multigrain Sandwich, Mutton Seekh, Pumpkin Soup, Tofu Bhurji",54,11,14,8,303,Cycling,Deep Fried Items,18-25,East,23.3,Limit your intake of caffeine and alcohol.,Monday
Mild Retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Daliya Upma, Handvo, Lauki Kofta, Methi Paratha, Multigrain Sandwich",53,6,17,14,331,Swimming,Processed Foods,26-35,Central,29.9,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Bajra Roti, Bisi Bele Bath, Cabbage Stir Fry, Fish Curry, Spinach Khichdi",43,10,21,8,481,Yoga,Sugary Foods,46-60,Central,18.2,Avoid skipping meals and maintain consistent meal timings.,Thursday
Moderate Retinopathy,Vegan,Lunch,"Almond Milk Smoothie, Masala Makhanas, Palak Kofta, Paneer Cutlet, Sprouted Chana Salad, Stuffed Tinda",43,9,16,11,477,Stretching,Excess Salt,36-45,Central,28.1,Practice mindfulness and stress-reducing activities.,Thursday
Severe Retinopathy,Non Vegetarian,Breakfast,"Almond Milk Smoothie, Dhokla, Egg Muffins, Masala Idli, Paneer Bhurji, Rajma Pulao",42,14,21,12,460,Cycling,Sugary Foods,36-45,Central,25.8,Practice mindfulness and stress-reducing activities.,Saturday
Mild Retinopathy,Vegetarian,Snacks,"Bisi Bele Bath, Chickpea Curry, Egg Bhurji, Green Gram Curry, Ragi Dosa, Tofu Bhurji",43,11,9,15,391,Brisk Walking,Deep Fried Items,26-35,East,26.8,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
No retinopathy,Vegetarian,Dinner,"Aloo Paratha, Chickpea Curry, Dhokla, Tomato Shorba, Vegan Pancakes, Vegetable Handvo",38,8,10,6,295,Strength Training,Processed Foods,26-35,West,24.9,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Mild Retinopathy,Vegan,Snacks,"Baingan Bharta, Coconut Chutney, Oats Chilla, Poha, Quinoa Salad, Vegetable Handvo",48,6,15,9,420,Strength Training,Deep Fried Items,46-60,West,28.1,Limit your intake of caffeine and alcohol.,Friday
Mild Retinopathy,Vegan,Breakfast,"Bajra Roti, Boiled Egg Salad, Lauki Kofta, Multigrain Sandwich, Oats Chilla, Rava Idli",30,11,11,12,401,Stretching,Refined Flour,36-45,Central,28.6,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Non Vegetarian,Dinner,"Barley Risotto, Chole with Bhatura, Masoor Dal, Pumpkin Soup, Ragi Dosa, Sprouted Chana Salad",47,13,10,12,254,Swimming,Excess Salt,36-45,South,25.1,Practice mindfulness and stress-reducing activities.,Friday
Moderate Retinopathy,Vegetarian,Lunch,"Baingan Bharta, Ragi Dosa, Rajma Curry, Sprouted Chana Salad, Vegan Dum Biryani, Vegan Pancakes",34,8,14,12,368,Strength Training,Sugary Foods,60+,Central,22.2,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Severe Retinopathy,Non Vegetarian,Dinner,"Daliya Upma, Masala Egg Toast, Masala Papad, Masoor Dal, Poha, Sprouted Chana Salad",33,11,21,8,427,Strength Training,Excess Salt,18-25,West,23.5,Avoid skipping meals and maintain consistent meal timings.,Friday
Severe Retinopathy,Vegan,Dinner,"Grilled Salmon, Handvo, Masala Idli, Rava Idli, Sprouted Chana Salad, Tofu Bhurji",46,10,9,15,315,Strength Training,Refined Flour,60+,North,19.8,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Proliferative Retinopathy,Vegan,Snacks,"Barley Risotto, Cabbage Stir Fry, Masala Makhanas, Millet Porridge, Ragi Dosa, Stuffed Capsicum",54,13,21,6,464,Swimming,Refined Flour,18-25,West,24.3,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Severe Retinopathy,Vegan,Lunch,"Bisi Bele Bath, Keema Pulao, Palak Kofta, Rajma Pulao, Vegan Dum Biryani, Vegetable Daliya",36,10,9,11,407,Stretching,Excess Salt,26-35,North,28.1,Practice mindfulness and stress-reducing activities.,Thursday
Severe Retinopathy,Vegetarian,Dinner,"Fish Curry, Methi Thepla, Oats Idli, Stuffed Capsicum, Tofu Stir Fry, Vegetable Handvo",53,14,20,10,308,Strength Training,Sugary Foods,18-25,West,27,Limit your intake of caffeine and alcohol.,Tuesday
Proliferative Retinopathy,Vegan,Dinner,"Lauki Curry, Lauki Kofta, Millet Porridge, Stuffed Tinda, Tomato Shorba, Turkey Kebab",46,8,21,8,360,Brisk Walking,Refined Flour,26-35,East,21.4,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Severe Retinopathy,Non Vegetarian,Lunch,"Almond Milk Smoothie, Chana Sundal, Egg Muffins, Methi Thepla, Mutton Biryani, Vegetable Upma",35,6,12,7,424,Swimming,Processed Foods,36-45,East,27.2,Keep a food diary to monitor your eating habits.,Thursday
Proliferative Retinopathy,Vegan,Breakfast,"Chickpea Curry, Fish Korma, Kadhi with Rice, Lauki Kofta, Masala Idli, Palak Paneer",35,13,22,10,424,Stretching,Processed Foods,36-45,Central,25.3,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Severe Retinopathy,Vegetarian,Dinner,"Avocado Toast, Egg Paratha, Kadhi with Rice, Masala Idli, Methi Thepla, Tomato Shorba",38,10,14,10,468,Swimming,Soft Drinks,26-35,Central,25.7,Practice mindfulness and stress-reducing activities.,Thursday
Proliferative Retinopathy,Vegan,Breakfast,"Avocado Toast, Boiled Egg Salad, Masoor Dal, Moong Dal Chilla, Palak Paneer, Spinach Rice",39,8,16,13,478,Brisk Walking,Soft Drinks,36-45,East,27,Practice mindfulness and stress-reducing activities.,Monday
Mild Retinopathy,Non Vegetarian,Snacks,"Daliya Upma, Dhokla, Methi Thepla, Oats Chilla, Sprouted Chana Salad, Vegan Pancakes",45,9,22,10,418,Brisk Walking,Processed Foods,60+,West,27,Get enough sleep to support overall health.,Thursday
